"","RBD","NOM_RBD","MRUN","RUT_SOSTENEDOR","COD_REG_RBD","COD_COM_RBD","NOM_COM_RBD","DEPENDENCIA.x","RURAL_RBD","CONVENIO_PIE","LATITUD","LONGITUD","ORI_RELIGIOSA","PAGO_MATRICULA","PAGO_MENSUAL","NOMBRE_ACCESIBILIDAD.x","NECESIDAD_AVION","PROM_LECT","PROM_MAT","MAT_TOTAL","RED_DE_ESCUELAS_LIDERES.x","GRUPO","NUMERO_BENEFICIADOS","MONTO_SEP","Grupo","Matricula_Comuna","Matricula_Grupo","PAGO_MATRICULA_2","PAGO_MENSUAL_2","cluster.x","CodGrupo","cluster.y","NOMBRE_ACCESIBILIDAD.y","RED_DE_ESCUELAS_LIDERES.y","DEPENDENCIA.y","Monto_Escuela","MATRICULA_TOTAL","MONTO_ALUMNO","N_TOTAL_COLEGIOS","idGrupo"
"44",75,"ESCUELA VALLE DE GUANACAGUA",NA,69251000,15,15102,"CAMARONES","Municipal","RURAL",0,-18.82276557,-69.71333395,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,6,0,"69251000",4,71661.855,NA,88,88,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"45",76,"ESCUELA VALLE DE CUYA",NA,69251000,15,15102,"CAMARONES","Municipal","RURAL",0,-19.16015999,-70.17949131,"Católica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,7,0,"69251000",7,125408.24625,NA,88,88,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"46",78,"LICEO GRANADEROS",NA,69250800,15,15201,"PUTRE","Municipal","RURAL",1,-18.19582434,-69.5619286,"Otro","GRATUITO","GRATUITO","Accesible",1,238,219,365,0,"69250800",173,3099375.22875,NA,402,402,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"47",79,"ESCUELA EL MARQUEZ",NA,69250800,15,15201,"PUTRE","Municipal","RURAL",0,-18.58071442,-69.4937554499999,"Otro","GRATUITO","GRATUITO","Medianamente",1,NA,NA,14,0,"69250800",13,232901.02875,NA,402,402,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"48",81,"ESCUELA PAYACHATAS",NA,69250800,15,15201,"PUTRE","Municipal","RURAL",0,-18.05440245,-69.2010105,"Otro","GRATUITO","GRATUITO","No Accesible",1,NA,NA,5,0,"69250800",5,89577.31875,NA,402,402,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"49",82,"ESCUELA SAN FRANCISCO DE ASIS",NA,69250800,15,15201,"PUTRE","Municipal","RURAL",0,-18.26880161,-69.59646586,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,5,0,"69250800",3,53746.39125,NA,402,402,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"50",83,"ESCUELA COTA COTANI",NA,69250800,15,15201,"PUTRE","Municipal","RURAL",0,-18.52192415,-69.22052729,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,5,0,"69250800",5,89577.31875,NA,402,402,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"51",84,"ESCUELA LOS ALAMOS",NA,69250800,15,15201,"PUTRE","Municipal","RURAL",0,-18.19634743,-69.5592163,"Católica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,4,0,"69250800",4,71661.855,NA,402,402,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"52",86,"ESCUELA SAN SANTIAGO DE BELEN",NA,69250800,15,15201,"PUTRE","Municipal","RURAL",0,-18.46778415,-69.51489316,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,4,0,"69250800",4,71661.855,NA,402,402,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"53",87,"ESCUELA ANCOLACANE",NA,69250700,15,15202,"GENERAL LAGOS","Municipal","RURAL",0,-17.85471456,-69.60613159,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,1,0,"69250700",1,17915.46375,NA,42,42,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"54",88,"ESCUELA ALCERRECA",NA,69250700,15,15202,"GENERAL LAGOS","Municipal","RURAL",0,-17.99433492,-69.70589669,"Católica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,1,0,"69250700",1,17915.46375,NA,42,42,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"55",90,"ESCUELA INTERNADO VISVIRI",NA,69250700,15,15202,"GENERAL LAGOS","Municipal","RURAL",0,-17.59488571,-69.48115627,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,28,0,"69250700",18,322478.3475,NA,42,42,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"56",91,"ESCUELA COSAPILLA",NA,69250700,15,15202,"GENERAL LAGOS","Municipal","RURAL",0,-18.38618133,-69.56858205,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,4,0,"69250700",2,35830.9275,NA,42,42,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"57",93,"ESCUELA CHUJLLUTA",NA,69250700,15,15202,"GENERAL LAGOS","Municipal","RURAL",0,-17.89941579,-69.34921589,"Católica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,5,0,"69250700",4,71661.855,NA,42,42,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"58",94,"ESCUELA GUACOYO",NA,69250700,15,15202,"GENERAL LAGOS","Municipal","RURAL",0,-17.76012855,-69.34494484,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,2,0,"69250700",2,35830.9275,NA,42,42,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"59",95,"ESCUELA COLPITAS",NA,69250700,15,15202,"GENERAL LAGOS","Municipal","RURAL",0,-17.95693832,-69.45362516,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,1,0,"69250700",1,17915.46375,NA,42,42,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"60",103,"ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA",NA,70938800,1,1101,"IQUIQUE","Municipal","URBANO",1,-20.22109594,-70.13817004,"Laica","GRATUITO","GRATUITO","No Accesible",1,234,205,490,0,"70938800",402,7202016.4275,NA,36441,10954,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"61",106,"INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL",NA,71142500,1,1101,"IQUIQUE","Administración Delegada","URBANO",0,-20.29401349,-70.12724452,"Católica","GRATUITO","GRATUITO","Accesible",1,222,215,406,0,"71142500",0,0,NA,36441,2546,0,0,"3","3-Accesible-0-Administración Delegada","3","Accesible",0,"Administración Delegada",23125000,1591,14534.8837209302,4,25
"62",107,"LICEO LIBERT. GRAL.BERNARDO O´HIGGINS",NA,70938800,1,1101,"IQUIQUE","Municipal","URBANO",1,-20.21974441,-70.15238682,"Laica","$1.000 A $10.000","GRATUITO","Medianamente",1,273,269,523,0,"70938800",373,6682467.97875,NA,36441,10954,5000,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"63",109,"LICEO ELENA DUVAUCHELLE CABEZON",NA,70938800,1,1101,"IQUIQUE","Municipal","URBANO",1,-20.21695112,-70.15337963,"Laica","GRATUITO","GRATUITO","No Accesible",1,222,200,229,0,"70938800",172,3081459.765,NA,36441,10954,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"64",110,"LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.",NA,70938800,1,1101,"IQUIQUE","Municipal","URBANO",1,-20.22471195,-70.13544477,"Laica","GRATUITO","GRATUITO","Accesible",1,NA,NA,958,0,"70938800",686,12290008.1325,NA,36441,10954,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"65",111,"ESCUELA GABRIELA MISTRAL",NA,70938800,1,1101,"IQUIQUE","Municipal","URBANO",1,-20.22589062,-70.14140773,"Laica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,511,0,"70938800",373,13364935.9575,NA,36441,10954,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"66",112,"ESCUELA EDUARDO LLANOS",NA,70938800,1,1101,"IQUIQUE","Municipal","URBANO",1,-20.21447631,-70.13585907,"Laica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,612,0,"70938800",460,8241113.325,NA,36441,10954,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"67",113,"ESCUELA ALMIRANTE PATRICIO LYNCH",NA,70938800,1,1101,"IQUIQUE","Municipal","URBANO",1,-20.23315557,-70.13769815,"Laica","GRATUITO","GRATUITO","Accesible",1,NA,NA,923,0,"70938800",579,10373053.51125,NA,36441,10954,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
